"Lineage","Total_HTZ","mean","std","p_value"
21296678,50,0.781,0.072,4.62226086545737E-61
21042364,37,0.76,0.058,1.35899357981572E-49
21246472,52,0.748,0.087,9.68539267061573E-51
21288203,34,0.747,0.082,9.69686909881344E-35
21148570,52,0.74,0.088,2.75403282420412E-49
21356272,38,0.738,0.084,6.21039961776992E-37
"21103680-BIS",58,0.737,0.11,1.1861773289447E-44
21173982,42,0.729,0.101,3.82064624171979E-34
21232047,60,0.729,0.101,1.96358149711809E-48
21240639,40,0.729,0.097,1.35011790694714E-33
21253926,49,0.729,0.108,2.29868884702815E-37
21314860,35,0.727,0.085,9.59361152198094E-33
21331783,46,0.724,0.096,3.82066458238778E-38
21308079,58,0.718,0.107,2.05584001521495E-42
21348964,40,0.717,0.099,2.25861071645634E-31
21354701,45,0.716,0.097,5.67164785667856E-36
21517485,85,0.715,0.071,4.76058438780718E-86
21232156,50,0.714,0.116,2.31173804765398E-33
21296445,43,0.709,0.101,4.06650738696432E-32
21296708,61,0.708,0.109,1.24899189727548E-41
21065493,55,0.705,0.108,1.46963503651679E-37
21173223,41,0.703,0.101,6.97037016200398E-30
21293205,84,0.697,0.113,2.24712659867542E-52
21307924,71,0.697,0.112,9.48768744042095E-45
43464908,56,0.697,0.098,3.38381139744625E-40
21292118,57,0.696,0.118,4.518557741798E-34
21461036,53,0.693,0.099,3.04051348811541E-37
21340000,43,0.69,0.1,1.23044387287917E-29
21322985,64,0.689,0.095,1.15116500652078E-45
21007127,44,0.683,0.11,2.0953152344819E-26
21234044,54,0.683,0.101,3.38186495788975E-35
21274772,33,0.68,0.063,1.917802434063E-32
21334202,66,0.679,0.099,8.12698465230042E-43
21410922,37,0.678,0.088,3.44026861501972E-27
22077320,44,0.677,0.091,8.82774185706748E-31
"21111767-TRIS",47,0.676,0.107,4.99766488334311E-28
21279108,79,0.673,0.103,4.18197446116888E-47
21288015,74,0.669,0.122,6.37316702203777E-36
21351063,47,0.669,0.109,3.22509786978339E-26
21312626,47,0.666,0.112,6.46259861710088E-25
21354251,35,0.661,0.094,8.19777354565597E-22
21348973,42,0.632,0.086,2.71926924271715E-23
21281572,60,0.604,0.075,7.10820801250126E-29
21333854,41,0.599,0.083,4.06743116898906E-17
21322322,59,0.595,0.081,1.64354026330458E-23
21024292,37,0.594,0.055,6.2059218378642E-23
40433710,69,0.592,0.071,7.5132619166825E-31
22246186,27,0.591,0.071,1.4122704907772E-12
21341402,33,0.571,0.095,1.12389609611244E-07
40428416,66,0.556,0.058,1.65957880926978E-20
21307395,37,0.552,0.06,2.3014534656056E-10
22077284,45,0.541,0.035,2.26682323957829E-18
